
+---------------+       +------------------------------------------------+
| RYERSON       |       | RPM and Motor Control                          |
| APPLIED       |       | https://github.com/raalf/TestStand             |
| AERODYNAMICS  |       | Throttle %: Enter ## (0 - 100)                 |
| LABORATORY OF |       | Hold Current RPM: Enter h                      |
| FLIGHT        |       | Hold Specific RPM: Enter h #### (1000 - 9000)  |
+---------------+       +------------------------------------------------+

Warning: Do not connect power supply.

Please turn on the power supply.
Waiting to initialize...
 
Please enter the number of blades on the propeller 'b', Press ENTER:
b = 2

Ready to Stream.

Time(ms) Throttle(%) RPS   RPM   PID STATE (ERROR)
61577	27.55	22.98	1377.70	PID GOTO 1500.00	(122.30)
61752	27.62	23.09	1384.77	PID GOTO 1500.00	(115.23)
61925	27.71	23.13	1387.44	PID GOTO 1500.00	(112.56)
62098	27.81	23.23	1393.27	PID GOTO 1500.00	(106.73)
62270	27.89	23.34	1399.71	PID GOTO 1500.00	(100.29)
62442	27.97	23.38	1402.72	PID GOTO 1500.00	(97.28)
62613	28.05	23.40	1403.61	PID GOTO 1500.00	(96.39)
62784	28.15	23.46	1407.01	PID GOTO 1500.00	(92.99)
62955	28.23	23.45	1407.24	PID GOTO 1500.00	(92.76)
63125	28.32	23.47	1408.09	PID GOTO 1500.00	(91.91)
63295	28.41	23.64	1417.28	PID GOTO 1500.00	(82.72)
63465	28.45	23.83	1428.30	PID GOTO 1500.00	(71.70)
63634	28.48	23.95	1436.18	PID GOTO 1500.00	(63.82)
63822	28.51	24.04	1441.57	PID GOTO 1500.00	(58.43)
64010	28.55	24.05	1443.11	PID GOTO 1500.00	(56.89)
64196	28.60	24.08	1444.76	PID GOTO 1500.00	(55.24)
64384	28.65	24.15	1448.70	PID GOTO 1500.00	(51.30)
64570	28.68	24.16	1449.47	PID GOTO 1500.00	(50.53)
64756	28.73	24.15	1449.17	PID GOTO 1500.00	(50.83)
64942	28.78	24.20	1451.66	PID GOTO 1500.00	(48.34)
65128	28.82	24.21	1452.67	PID GOTO 1500.00	(47.33)
65314	28.87	24.21	1452.77	PID GOTO 1500.00	(47.23)
65500	28.91	24.31	1458.25	PID GOTO 1500.00	(41.75)
65685	28.93	24.41	1464.06	PID GOTO 1500.00	(35.94)
65869	28.95	24.45	1466.57	PID GOTO 1500.00	(33.43)
